node,seq,time_s,rssi_dbm,uav_x,uav_y,uav_z
33,121,247.534887451,-81.8122953227,210.000095726,-15.2208602374,30
32,122,249.518220783,-81.6493879756,210.00015801,-35.0541883411,30
33,122,249.534887449,-81.6641658054,210.000158534,-35.2208549573,30
44,122,249.718220779,-81.2243069448,210.000164291,-37.0541877751,30
44,123,251.718220768,-80.093920678,210.00022709,-57.0541832988,30
56,124,253.918220779,-81.2428298906,210.000296165,-79.0541791745,30
57,124,253.934887445,-81.244888287,210.000296688,-79.2208458063,30
68,125,256.118220768,-79.9821704553,210.00037377,-101.054175489,30
68,126,258.118220782,-81.5805915061,210.000493144,-121.054173197,30
80,126,258.318220781,-81.4770814809,210.000505082,-123.054172944,30
81,126,258.334887447,-81.4657677333,210.000506076,-123.220839583,30
92,127,260.518220773,-80.6483171231,210.000588237,-145.054170985,30
92,128,262.518220772,-80.4503674789,210.000651009,-165.054169813,30
104,129,264.71822078,-81.3744661126,210.000720052,-187.054169294,30
105,129,264.734887446,-81.3833854945,210.000720575,-187.22083595,30
116,129,264.918220785,-81.8714706888,210.000729205,-189.054169337,30
116,130,266.918220767,-79.9375489181,210.000848554,-209.054169553,30
116,131,268.918220771,-80.4356084225,218.464014009,-210.984952641,30
105,132,270.734887451,-81.906245681,232.419958279,-199.354897873,30
117,132,270.93488744,-80.7304021513,233.956392415,-198.074524951,30
105,133,272.734887445,-81.2423693562,240.000719333,-182.905507102,30
106,133,272.751554112,-81.2406808371,240.000719004,-182.738839818,30
93,134,274.534887438,-80.4375011235,240.00068388,-164.905440892,30
93,135,276.53488744,-80.6631940661,240.000593172,-144.905435208,30
81,136,278.334887445,-81.2827210807,240.000506774,-126.905436643,30
82,136,278.351554112,-81.2880117533,240.000505974,-126.738769992,30
69,137,280.134887434,-80.0888080026,240.000420371,-108.905438798,30
69,138,282.134887445,-81.2368082013,240.000364348,-88.9054416239,30
57,139,283.934887447,-81.4879766976,240.000322835,-70.9054445958,30
58,139,283.951554114,-81.49978425,240.000322035,-70.7387779605,30
45,140,285.734887433,-79.9342717839,240.000236415,-52.90544848,30
33,141,287.534887449,-81.6390117856,240.000149991,-34.9054524448,30
34,141,287.551554116,-81.6246259842,240.00014919,-34.7387858173,30
45,141,287.734887452,-81.9127160869,240.000140387,-32.9054529245,30
21,142,289.334887448,-81.5478145262,240.000063562,-16.9054570414,30
33,142,289.534887451,-81.84164047,240.000053959,-14.9054575211,30
34,142,289.551554118,-81.8590698518,240.000053158,-14.7387908935,30
21,143,291.334887434,-79.9896842129,239.999967522,3.09453696413,30
9,144,293.134887446,-81.360477883,239.999892774,21.0945314574,30
10,144,293.151554113,-81.352283247,239.999892445,21.2611980692,30
10,148,301.151554112,-81.259730498,269.999865839,28.0778216678,30
11,148,301.168220779,-81.2562301943,269.999866445,27.9111550572,30
22,149,303.351554102,-80.1651646413,269.999945791,6.0778288722,30
22,150,305.35155411,-81.0697277446,270.000035117,-13.9221652974,30
34,150,305.551554117,-81.7427973893,270.000048043,-15.9221648429,30
35,150,305.568220784,-81.7268639242,270.00004912,-16.0888314692,30
34,151,307.551554117,-81.7289205021,270.000177304,-35.9221595985,30
35,151,307.568220784,-81.7448842496,270.000178381,-36.0888262248,30
46,151,307.751554111,-81.091426305,270.00019023,-37.922159014,30
