node,seq,time_s
92,3,12.516666667
93,3,12.533333333
94,3,12.55
95,3,12.566666667
96,3,12.583333333
97,3,12.6
98,3,12.616666667
99,3,12.633333333
100,3,12.65
101,3,12.666666667
102,3,12.683333333
103,3,12.7
104,3,12.716666667
105,3,12.733333333
106,3,12.75
107,3,12.766666667
108,3,12.783333333
109,3,12.8
110,3,12.816666667
111,3,12.833333333
112,3,12.85
113,3,12.866666667
114,3,12.883333333
115,3,12.9
116,3,12.916666667
117,3,12.933333333
118,3,12.95
119,3,12.966666667
120,3,12.983333333
1,4,13
2,4,13.016666667
3,4,13.033333333
4,4,13.05
5,4,13.066666667
6,4,13.083333333
7,4,13.1
8,4,13.116666667
9,4,13.133333333
10,4,13.15
11,4,13.166666667
12,4,13.183333333
13,4,13.2
14,4,13.216666667
15,4,13.233333333
16,4,13.25
17,4,13.266666667
18,4,13.283333333
19,4,13.3
20,4,13.316666667
21,4,13.333333333
22,4,13.35
23,4,13.366666667
24,4,13.383333333
25,4,13.4
26,4,13.416666667
27,4,13.433333333
28,4,13.45
29,4,13.466666667
30,4,13.483333333
31,4,13.5
32,4,13.516666667
33,4,13.533333333
34,4,13.55
35,4,13.566666667
36,4,13.583333333
37,4,13.6
38,4,13.616666667
39,4,13.633333333
40,4,13.65
41,4,13.666666667
42,4,13.683333333
43,4,13.7
44,4,13.716666667
45,4,13.733333333
46,4,13.75
47,4,13.766666667
48,4,13.783333333
49,4,13.8
50,4,13.816666667
51,4,13.833333333
52,4,13.85
53,4,13.866666667
54,4,13.883333333
55,4,13.9
56,4,13.916666667
57,4,13.933333333
58,4,13.95
59,4,13.966666667
60,4,13.983333333
61,4,14
62,4,14.016666667
63,4,14.033333333
64,4,14.05
65,4,14.066666667
66,4,14.083333333
67,4,14.1
68,4,14.116666667
69,4,14.133333333
70,4,14.15
71,4,14.166666667
72,4,14.183333333
73,4,14.2
74,4,14.216666667
75,4,14.233333333
76,4,14.25
77,4,14.266666667
78,4,14.283333333
79,4,14.3
80,4,14.316666667
81,4,14.333333333
82,4,14.35
83,4,14.366666667
84,4,14.383333333
85,4,14.4
86,4,14.416666667
87,4,14.433333333
88,4,14.45
89,4,14.466666667
90,4,14.483333333
91,4,14.5
92,4,14.516666667
93,4,14.533333333
94,4,14.55
95,4,14.566666667
96,4,14.583333333
97,4,14.6
98,4,14.616666667
99,4,14.633333333
100,4,14.65
101,4,14.666666667
102,4,14.683333333
103,4,14.7
104,4,14.716666667
105,4,14.733333333
106,4,14.75
107,4,14.766666667
108,4,14.783333333
109,4,14.8
110,4,14.816666667
111,4,14.833333333
112,4,14.85
113,4,14.866666667
114,4,14.883333333
115,4,14.9
116,4,14.916666667
117,4,14.933333333
118,4,14.95
119,4,14.966666667
120,4,14.983333333
1,5,15
2,5,15.016666667
3,5,15.033333333
4,5,15.05
5,5,15.066666667
6,5,15.083333333
7,5,15.1
8,5,15.116666667
9,5,15.133333333
10,5,15.15
11,5,15.166666667
12,5,15.183333333
13,5,15.2
14,5,15.216666667
15,5,15.233333333
16,5,15.25
17,5,15.266666667
18,5,15.283333333
19,5,15.3
20,5,15.316666667
21,5,15.333333333
22,5,15.35
23,5,15.366666667
24,5,15.383333333
25,5,15.4
26,5,15.416666667
27,5,15.433333333
28,5,15.45
29,5,15.466666667
30,5,15.483333333
31,5,15.5
32,5,15.516666667
33,5,15.533333333
34,5,15.55
35,5,15.566666667
36,5,15.583333333
37,5,15.6
38,5,15.616666667
39,5,15.633333333
40,5,15.65
41,5,15.666666667
42,5,15.683333333
43,5,15.7
44,5,15.716666667
45,5,15.733333333
46,5,15.75
47,5,15.766666667
48,5,15.783333333
49,5,15.8
50,5,15.816666667
51,5,15.833333333
52,5,15.85
53,5,15.866666667
54,5,15.883333333
55,5,15.9
56,5,15.916666667
57,5,15.933333333
58,5,15.95
59,5,15.966666667
60,5,15.983333333
61,5,16
62,5,16.016666667
63,5,16.033333333
64,5,16.05
65,5,16.066666667
66,5,16.083333333
67,5,16.1
68,5,16.116666667
69,5,16.133333333
70,5,16.15
71,5,16.166666667
72,5,16.183333333
73,5,16.2
74,5,16.216666667
75,5,16.233333333
76,5,16.25
77,5,16.266666667
78,5,16.283333333
79,5,16.3
80,5,16.316666667
81,5,16.333333333
82,5,16.35
83,5,16.366666667
84,5,16.383333333
85,5,16.4
86,5,16.416666667
87,5,16.433333333
88,5,16.45
89,5,16.466666667
90,5,16.483333333
91,5,16.5
92,5,16.516666667
93,5,16.533333333
94,5,16.55
95,5,16.566666667
96,5,16.583333333
97,5,16.6
98,5,16.616666667
99,5,16.633333333
100,5,16.65
101,5,16.666666667
102,5,16.683333333
103,5,16.7
104,5,16.716666667
105,5,16.733333333
106,5,16.75
107,5,16.766666667
108,5,16.783333333
109,5,16.8
110,5,16.816666667
111,5,16.833333333
112,5,16.85
113,5,16.866666667
114,5,16.883333333
115,5,16.9
116,5,16.916666667
117,5,16.933333333
118,5,16.95
119,5,16.966666667
120,5,16.983333333
1,6,17
2,6,17.016666667
3,6,17.033333333
4,6,17.05
5,6,17.066666667
6,6,17.083333333
7,6,17.1
8,6,17.116666667
9,6,17.133333333
10,6,17.15
11,6,17.166666667
12,6,17.183333333
13,6,17.2
14,6,17.216666667
15,6,17.233333333
16,6,17.25
17,6,17.266666667
18,6,17.283333333
19,6,17.3
20,6,17.316666667
21,6,17.333333333
22,6,17.35
23,6,17.366666667
24,6,17.383333333
25,6,17.4
26,6,17.416666667
27,6,17.433333333
28,6,17.45
29,6,17.466666667
30,6,17.483333333
31,6,17.5
32,6,17.516666667
33,6,17.533333333
34,6,17.55
35,6,17.566666667
36,6,17.583333333
37,6,17.6
38,6,17.616666667
39,6,17.633333333
40,6,17.65
41,6,17.666666667
42,6,17.683333333
43,6,17.7
44,6,17.716666667
45,6,17.733333333
46,6,17.75
47,6,17.766666667
48,6,17.783333333
49,6,17.8
50,6,17.816666667
51,6,17.833333333
52,6,17.85
53,6,17.866666667
54,6,17.883333333
55,6,17.9
56,6,17.916666667
57,6,17.933333333
58,6,17.95
59,6,17.966666667
60,6,17.983333333
61,6,18
62,6,18.016666667
63,6,18.033333333
64,6,18.05
65,6,18.066666667
66,6,18.083333333
67,6,18.1
68,6,18.116666667
69,6,18.133333333
70,6,18.15
71,6,18.166666667
72,6,18.183333333
73,6,18.2
74,6,18.216666667
75,6,18.233333333
76,6,18.25
77,6,18.266666667
78,6,18.283333333
79,6,18.3
80,6,18.316666667
81,6,18.333333333
82,6,18.35
83,6,18.366666667
84,6,18.383333333
85,6,18.4
86,6,18.416666667
87,6,18.433333333
88,6,18.45
89,6,18.466666667
90,6,18.483333333
91,6,18.5
92,6,18.516666667
93,6,18.533333333
94,6,18.55
95,6,18.566666667
96,6,18.583333333
97,6,18.6
98,6,18.616666667
99,6,18.633333333
100,6,18.65
101,6,18.666666667
102,6,18.683333333
103,6,18.7
104,6,18.716666667
105,6,18.733333333
106,6,18.75
107,6,18.766666667
108,6,18.783333333
109,6,18.8
110,6,18.816666667
111,6,18.833333333
112,6,18.85
113,6,18.866666667
114,6,18.883333333
115,6,18.9
116,6,18.916666667
117,6,18.933333333
118,6,18.95
